Country or region,year,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Score
Finland,2019,1.34,1.587,0.986,0.596,0.153,0.393,7.769
Denmark,2019,1.383,1.573,0.996,0.592,0.252,0.41,7.6
Norway,2019,1.488,1.582,1.028,0.603,0.271,0.341,7.554
Iceland,2019,1.38,1.624,1.026,0.591,0.354,0.118,7.494
Netherlands,2019,1.396,1.522,0.999,0.557,0.322,0.298,7.488
Switzerland,2019,1.452,1.526,1.052,0.572,0.263,0.343,7.48
Sweden,2019,1.387,1.487,1.009,0.574,0.267,0.373,7.343
New Zealand,2019,1.303,1.557,1.026,0.585,0.33,0.38,7.307
Canada,2019,1.365,1.505,1.039,0.584,0.285,0.308,7.278
Austria,2019,1.376,1.475,1.016,0.532,0.244,0.226,7.246
Australia,2019,1.372,1.548,1.036,0.557,0.332,0.29,7.228
Costa Rica,2019,1.034,1.441,0.963,0.558,0.144,0.093,7.167
Israel,2019,1.276,1.455,1.029,0.371,0.261,0.082,7.139
Luxembourg,2019,1.609,1.479,1.012,0.526,0.194,0.316,7.09
United Kingdom,2019,1.333,1.538,0.996,0.45,0.348,0.278,7.054
Ireland,2019,1.499,1.553,0.999,0.516,0.298,0.31,7.021
Germany,2019,1.373,1.454,0.987,0.495,0.261,0.265,6.985
Belgium,2019,1.356,1.504,0.986,0.473,0.16,0.21,6.923
United States,2019,1.433,1.457,0.874,0.454,0.28,0.128,6.892
Czech Republic,2019,1.269,1.487,0.92,0.457,0.046,0.036,6.852
United Arab Emirates,2019,1.503,1.31,0.825,0.598,0.262,0.182,6.825
Malta,2019,1.3,1.52,0.999,0.564,0.375,0.151,6.726
Mexico,2019,1.07,1.323,0.861,0.433,0.074,0.073,6.595
France,2019,1.324,1.472,1.045,0.436,0.111,0.183,6.592
Taiwan,2019,1.368,1.43,0.914,0.351,0.242,0.097,6.446
Chile,2019,1.159,1.369,0.92,0.357,0.187,0.056,6.444
Guatemala,2019,0.8,1.269,0.746,0.535,0.175,0.078,6.436
Saudi Arabia,2019,1.403,1.357,0.795,0.439,0.08,0.132,6.375
Qatar,2019,1.684,1.313,0.871,0.555,0.22,0.167,6.374
Spain,2019,1.286,1.484,1.062,0.362,0.153,0.079,6.354
Panama,2019,1.149,1.442,0.91,0.516,0.109,0.054,6.321
Brazil,2019,1.004,1.439,0.802,0.39,0.099,0.086,6.3
Uruguay,2019,1.124,1.465,0.891,0.523,0.127,0.15,6.293
Singapore,2019,1.572,1.463,1.141,0.556,0.271,0.453,6.262
El Salvador,2019,0.794,1.242,0.789,0.43,0.093,0.074,6.253
Italy,2019,1.294,1.488,1.039,0.231,0.158,0.03,6.223
Bahrain,2019,1.362,1.368,0.871,0.536,0.255,0.11,6.199
Slovakia,2019,1.246,1.504,0.881,0.334,0.121,0.014,6.198
Trinidad & Tobago,2019,1.231,1.477,0.713,0.489,0.185,0.016,6.192
Poland,2019,1.206,1.438,0.884,0.483,0.117,0.05,6.182
Uzbekistan,2019,0.745,1.529,0.756,0.631,0.322,0.24,6.174
Lithuania,2019,1.238,1.515,0.818,0.291,0.043,0.042,6.149
